Date,Open,High,Low,Close,Volume
11-1-2019,62.38,67.0,62.29,66.81,1793326000
12-1-2019,66.82,73.49,64.07,73.41,2388794800
01-1-2020,74.06,81.96,73.19,77.38,2934370400
02-1-2020,76.07,81.81,64.09,68.34,3019279200
03-1-2020,70.57,76.0,53.15,63.57,6280072400
04-1-2020,61.63,73.63,59.22,73.45,3265299200
05-1-2020,71.56,81.06,71.46,79.49,2805936000
06-1-2020,79.44,93.1,79.3,91.2,3243375600
07-1-2020,91.28,106.42,89.14,106.26,3020283200
08-1-2020,108.2,131.0,107.89,129.04,4070061100
09-1-2020,132.76,137.98,103.1,115.81,3885245100
10-1-2020,117.64,125.39,107.72,108.86,2894666500
11-1-2020,109.11,121.99,107.32,119.05,2123077300
12-1-2020,121.01,138.79,120.01,132.69,2322189600
01-1-2021,133.52,145.09,126.38,131.96,2240262000
02-1-2021,133.75,137.88,118.39,121.26,1833855600
03-1-2021,123.75,128.72,116.21,122.15,2650418200
04-1-2021,123.66,137.07,122.49,131.46,1889857500
05-1-2021,132.04,134.07,122.25,124.61,1711934900
06-1-2021,125.08,137.41,123.13,136.96,1606590000
07-1-2021,136.6,150.0,135.76,145.86,1919035100
08-1-2021,146.36,153.49,144.5,151.83,1461542800
09-1-2021,152.83,157.26,141.27,141.5,1797835100
10-1-2021,141.9,153.17,138.27,149.8,1565079200
11-1-2021,148.99,165.7,147.48,165.3,1691029000
12-1-2021,167.48,182.13,157.8,177.57,2444766700
01-1-2022,177.83,182.94,154.7,174.78,2108446000
02-1-2022,174.01,176.65,152.0,165.12,1627516300
03-1-2022,164.7,179.61,150.1,174.61,2180800100
04-1-2022,174.03,178.49,155.38,157.65,1687795600
05-1-2022,156.71,166.48,132.61,148.84,2401040300
06-1-2022,149.9,151.74,129.04,136.72,1749099800
07-1-2022,136.04,163.63,135.66,162.51,1447125400
08-1-2022,161.01,176.15,157.14,157.22,1510239600
09-1-2022,156.64,164.26,138.0,138.2,2084722800
10-1-2022,138.21,157.5,134.37,153.34,1868139700
11-1-2022,155.08,155.45,134.38,148.03,1724847700
12-1-2022,148.21,150.92,125.87,129.93,1675731200
01-1-2023,130.28,147.23,124.17,144.29,1443652500
02-1-2023,143.97,157.38,141.32,147.41,1307198900
03-1-2023,146.83,165.0,143.9,164.9,1520266600
04-1-2023,164.27,169.85,159.78,169.68,969709700
05-1-2023,169.28,179.35,164.31,177.25,1275155500
06-1-2023,177.7,194.48,176.93,193.97,1297101100
07-1-2023,193.78,198.23,186.6,196.45,996066400
08-1-2023,196.24,196.73,171.96,187.87,1322439400
09-1-2023,189.49,189.98,167.62,171.21,1337586600
10-1-2023,171.22,182.34,165.67,170.77,1172719600
11-1-2023,171.0,192.93,170.12,189.95,1099586100
12-1-2023,190.33,199.62,187.45,192.53,1062774800
01-1-2024,187.15,196.38,180.17,184.4,1187219300
02-1-2024,183.99,191.05,179.25,180.75,1161627000
03-1-2024,179.55,180.53,168.49,171.48,1432782800
04-1-2024,171.19,178.36,164.08,170.33,1245717000
05-1-2024,169.58,193.0,169.11,192.25,1336537700
06-1-2024,192.9,220.2,192.15,210.62,1723984500
07-1-2024,212.09,237.23,211.92,222.08,1153099800
08-1-2024,224.37,232.92,196.0,229.0,1122667000
09-1-2024,228.55,233.09,213.92,233.0,1232140300
10-1-2024,229.52,231.73,221.33,231.3,372199000
