Date,Open,High,Low,Close,Volume
10-14-2019,59.1,59.41,58.3,59.1,326282000
10-21-2019,59.38,61.68,59.33,61.65,388122000
10-28-2019,61.85,63.98,59.31,63.96,654221600
11-4-2019,64.33,65.11,63.84,65.04,423960800
11-11-2019,64.57,66.44,64.57,66.44,461333600
11-18-2019,66.45,67.0,65.1,65.44,455825200
11-25-2019,65.68,67.0,65.63,66.81,301081200
12-2-2019,66.82,67.75,64.07,67.68,456599200
12-9-2019,67.5,68.82,66.23,68.79,568117600
12-16-2019,69.25,70.66,69.25,69.86,732720000
12-23-2019,70.13,73.49,70.09,72.45,386438000
12-30-2019,72.36,75.15,71.31,74.36,526723200
01-6-2020,73.45,78.17,73.19,77.58,670091600
01-13-2020,77.91,79.68,77.39,79.68,652055600
01-20-2020,79.3,80.83,78.91,79.58,463685200
01-27-2020,77.51,81.96,76.22,77.38,866734800
02-3-2020,76.07,81.31,75.56,80.01,652341200
02-10-2020,78.54,81.81,78.46,81.24,492263600
02-17-2020,78.84,81.16,77.63,78.26,476635200
02-24-2020,74.32,76.04,64.09,68.34,1398039200
03-2-2020,70.57,76.0,69.43,72.26,1293800800
03-9-2020,65.94,71.61,62.0,69.49,1616839600
03-16-2020,60.49,64.77,57.0,57.31,1620263600
03-23-2020,57.02,64.67,53.15,61.94,1384190000
03-30-2020,62.69,65.62,59.22,60.35,837010800
04-6-2020,62.72,67.93,62.35,67.0,735437600
04-13-2020,67.08,72.06,66.46,70.7,829547200
04-20-2020,69.49,70.75,66.36,70.74,678844800
04-27-2020,70.45,74.75,69.55,72.27,790054000
05-4-2020,72.29,77.59,71.58,77.53,672706400
05-11-2020,77.03,79.92,75.05,76.93,834147600
05-18-2020,78.29,80.22,77.58,79.72,532904800
05-25-2020,80.88,81.06,78.27,79.49,525560400
06-1-2020,79.44,82.94,79.3,82.88,497736000
06-8-2020,82.56,88.69,81.83,84.7,811826800
06-15-2020,83.31,89.14,83.14,87.43,779940400
06-22-2020,87.83,93.1,87.79,88.41,883003200
06-29-2020,88.31,92.62,87.82,91.03,495648000
07-6-2020,92.5,96.32,92.47,95.92,564072000
07-13-2020,97.26,99.96,93.88,96.33,718600800
07-20-2020,96.42,99.25,89.14,92.61,665196000
07-27-2020,93.71,106.42,93.25,106.26,847635600
08-3-2020,108.2,114.41,107.89,111.11,1003474000
08-10-2020,112.6,116.04,109.11,114.91,941551200
08-17-2020,116.06,124.87,113.96,124.37,835695200
