Date,Open,High,Low,Close,Volume
03-17-1980,0.0,3.3,3.13,3.15,219600
03-18-1980,0.0,3.13,2.94,3.03,727200
03-19-1980,0.0,3.08,3.02,3.04,295200
03-20-1980,0.0,3.06,3.01,3.01,159600
03-21-1980,0.0,3.02,2.91,2.92,130800
03-24-1980,0.0,2.92,2.64,2.67,436800
03-25-1980,0.0,2.75,2.55,2.6,645600
03-26-1980,0.0,2.6,2.43,2.45,466800
03-27-1980,0.0,2.38,2.24,2.38,1129200
03-28-1980,0.0,2.58,2.46,2.54,666000
03-31-1980,0.0,2.58,2.52,2.54,430800
04-1-1980,0.0,2.77,2.58,2.74,492000
04-2-1980,0.0,2.74,2.61,2.63,283200
04-3-1980,0.0,2.64,2.6,2.64,226800
04-7-1980,0.0,2.61,2.53,2.54,355200
04-8-1980,0.0,2.63,2.5,2.59,765600
04-9-1980,0.0,2.67,2.58,2.67,134400
04-10-1980,0.0,2.74,2.66,2.74,174000
04-11-1980,0.0,2.77,2.64,2.64,109200
04-14-1980,0.0,2.65,2.5,2.56,267600
04-15-1980,0.0,2.56,2.52,2.56,505200
04-16-1980,0.0,2.57,2.34,2.35,358800
04-17-1980,0.0,2.43,2.27,2.43,696000
04-18-1980,0.0,2.47,2.31,2.32,342000
04-21-1980,0.0,2.36,2.28,2.29,498000
04-22-1980,0.0,2.6,2.38,2.56,880800
04-23-1980,0.0,2.73,2.59,2.61,588000
04-24-1980,0.0,2.81,2.61,2.78,733200
04-25-1980,0.0,2.76,2.69,2.71,343200
04-28-1980,0.0,2.79,2.72,2.73,372000
04-29-1980,0.0,2.73,2.64,2.67,270000
04-30-1980,0.0,2.63,2.54,2.55,273600
05-1-1980,0.0,2.54,2.46,2.46,505200
05-2-1980,0.0,2.47,2.42,2.47,282000
05-5-1980,0.0,2.6,2.5,2.6,302400
05-6-1980,0.0,2.73,2.58,2.69,386400
05-7-1980,0.0,2.71,2.66,2.69,138000
05-8-1980,0.0,2.69,2.6,2.6,225600
05-9-1980,0.0,2.58,2.53,2.54,128400
05-12-1980,0.0,2.61,2.52,2.61,180000
05-13-1980,0.0,2.71,2.66,2.69,213600
05-14-1980,0.0,2.78,2.7,2.77,345600
05-15-1980,0.0,2.77,2.73,2.73,292800
05-16-1980,0.0,2.74,2.65,2.67,135600
05-19-1980,0.0,2.71,2.67,2.69,66000
05-20-1980,0.0,2.75,2.68,2.75,453600
05-21-1980,0.0,2.8,2.74,2.78,512400
05-22-1980,0.0,2.92,2.81,2.92,499200
05-23-1980,0.0,2.99,2.9,2.99,411600
05-27-1980,0.0,3.06,3.0,3.01,247200
05-28-1980,0.0,3.15,3.0,3.15,458400
05-29-1980,0.0,3.21,3.07,3.08,618000
05-30-1980,0.0,3.17,3.03,3.17,298800
06-2-1980,0.0,3.17,3.1,3.1,208800
06-3-1980,0.0,3.08,3.01,3.02,283200
06-4-1980,0.0,3.07,3.0,3.07,218400
06-5-1980,0.0,3.13,3.02,3.02,147600
06-6-1980,0.0,3.06,2.97,3.0,428400
06-9-1980,0.0,3.06,2.86,2.86,426000
06-10-1980,0.0,2.97,2.86,2.97,464400
06-11-1980,0.0,3.05,2.96,3.05,182400
06-12-1980,0.0,3.1,3.02,3.09,404400
06-13-1980,0.0,3.1,3.07,3.09,67200
06-16-1980,0.0,3.09,3.03,3.03,242400
06-17-1980,0.0,3.07,3.05,3.06,214800
06-18-1980,0.0,3.05,3.0,3.02,606000
06-19-1980,0.0,3.05,2.97,2.97,220800
06-20-1980,0.0,2.94,2.93,2.93,99600
06-23-1980,0.0,2.96,2.92,2.94,198000
06-24-1980,0.0,2.94,2.91,2.94,102000
06-25-1980,0.0,3.1,2.95,3.07,358800
06-26-1980,0.0,3.13,3.02,3.02,246000
06-27-1980,0.0,3.07,3.01,3.04,78000
06-30-1980,0.0,3.07,3.01,3.04,205200
07-1-1980,0.0,3.08,3.01,3.07,195600
07-2-1980,0.0,3.18,3.09,3.18,181200
07-3-1980,0.0,3.36,3.17,3.34,390000
07-7-1980,0.0,3.51,3.45,3.46,355200
07-8-1980,0.0,3.46,3.33,3.39,826800
07-9-1980,0.0,3.5,3.41,3.44,394800
07-10-1980,0.0,3.56,3.43,3.5,318000
07-11-1980,0.0,3.64,3.5,3.61,433200
07-14-1980,0.0,3.77,3.66,3.73,464400
07-15-1980,0.0,3.82,3.71,3.71,583200
07-16-1980,0.0,3.76,3.6,3.61,334800
07-17-1980,0.0,3.66,3.61,3.65,255600
07-18-1980,0.0,3.73,3.61,3.61,422400
07-21-1980,0.0,3.66,3.49,3.57,378000
07-22-1980,0.0,3.6,3.54,3.57,746400
07-23-1980,0.0,3.58,3.55,3.56,398400
07-24-1980,0.0,3.63,3.55,3.58,123600
07-25-1980,0.0,3.58,3.5,3.51,260400
07-28-1980,0.0,3.52,3.46,3.52,253200
07-29-1980,0.0,3.74,3.5,3.74,1060800
07-30-1980,0.0,4.1,3.91,4.03,711600
07-31-1980,0.0,4.16,4.02,4.14,528000
08-1-1980,0.0,4.29,4.21,4.26,670800
08-4-1980,0.0,4.33,4.22,4.31,290400
08-5-1980,0.0,4.42,4.31,4.36,508800
08-6-1980,0.0,4.33,4.22,4.24,351600
08-7-1980,0.0,4.27,4.21,4.22,218400
08-8-1980,0.0,4.33,4.26,4.27,471600
08-11-1980,0.0,4.42,4.27,4.42,542400
08-12-1980,0.0,4.5,4.33,4.35,445200
08-13-1980,0.0,4.36,4.27,4.27,234000
08-14-1980,0.0,4.43,4.27,4.39,428400
08-15-1980,0.0,4.45,4.31,4.33,206400
08-18-1980,0.0,4.32,4.1,4.1,427200
08-19-1980,0.0,4.1,3.92,3.95,639600
08-20-1980,0.0,4.17,3.91,4.17,649200
08-21-1980,0.0,4.44,4.21,4.42,307200
08-22-1980,0.0,4.58,4.44,4.56,718800
08-25-1980,0.0,4.59,4.52,4.52,333600
08-26-1980,0.0,4.75,4.54,4.64,284400
08-27-1980,0.0,4.61,4.48,4.48,297600
08-28-1980,0.0,4.48,4.35,4.38,334800
