Date,Open,High,Low,Close,Volume
01-1-1985,14.69,18.19,13.19,17.56,25653400
02-1-1985,17.31,18.06,15.81,16.63,14944400
03-1-1985,16.69,17.0,15.06,16.69,17758000
04-1-1985,16.81,17.0,13.5,13.94,14843600
05-1-1985,13.88,15.13,13.0,13.25,17080800
06-1-1985,13.31,13.81,11.06,13.0,23443200
07-1-1985,13.06,15.38,12.38,14.88,19431600
08-1-1985,15.0,15.44,13.25,13.25,12519000
09-1-1985,13.25,14.13,12.5,13.13,13307200
10-1-1985,13.0,13.0,11.0,11.69,19180200
11-1-1985,11.75,13.94,11.38,13.94,19094600
12-1-1985,13.88,15.56,13.5,14.5,18101000
01-1-1986,14.44,14.88,13.19,13.69,14869600
02-1-1986,13.63,16.44,13.44,15.56,21612800
03-1-1986,15.44,16.75,14.06,14.25,13787400
04-1-1986,14.25,15.75,13.5,14.19,18287400
05-1-1986,14.13,14.56,12.19,13.31,15569000
06-1-1986,13.25,13.31,10.0,10.0,17810400
07-1-1986,10.19,10.31,7.06,7.88,23084800
08-1-1986,7.81,9.94,7.19,9.69,15832800
09-1-1986,9.63,10.19,7.63,7.88,17338600
10-1-1986,7.94,8.06,6.44,6.88,14083400
11-1-1986,7.0,8.25,7.0,7.81,10927000
12-1-1986,7.63,8.44,6.69,6.88,10165000
01-1-1987,6.81,9.38,6.75,8.75,26551600
02-1-1987,8.75,12.25,8.69,10.88,36902000
03-1-1987,11.0,11.0,9.38,9.94,21468600
04-1-1987,9.69,12.13,9.69,11.06,28259400
05-1-1987,11.06,11.94,10.0,10.81,20350400
06-1-1987,10.88,11.13,9.06,9.5,20074000
07-1-1987,9.44,9.63,8.38,9.06,19259200
08-1-1987,8.94,11.69,8.88,11.0,34374400
09-1-1987,10.94,11.5,9.69,11.0,19773000
10-1-1987,11.06,12.44,4.75,5.75,48820400
11-1-1987,5.31,5.63,4.38,4.63,18541400
12-1-1987,4.69,5.38,3.75,4.94,25248400
01-1-1988,5.0,5.63,4.44,4.81,16399600
02-1-1988,4.88,6.44,4.69,6.0,19525000
03-1-1988,6.0,6.94,5.38,5.5,20645000
04-1-1988,5.5,7.38,5.44,7.19,31181200
05-1-1988,7.19,7.69,6.56,7.5,25653400
06-1-1988,7.5,8.44,7.5,8.25,30227000
07-1-1988,8.25,8.38,6.25,6.69,22379200
08-1-1988,6.69,6.88,5.5,5.69,17445600
09-1-1988,5.63,5.88,4.5,4.63,19490800
10-1-1988,4.5,5.25,4.19,4.5,24482800
11-1-1988,4.56,4.56,3.56,3.75,15584000
12-1-1988,3.75,4.5,3.56,4.31,22491200
01-1-1989,4.31,4.69,4.19,4.56,23549000
02-1-1989,4.56,4.81,4.06,4.13,12494200
03-1-1989,4.13,4.38,4.0,4.25,8954400
04-1-1989,4.19,4.69,4.13,4.44,9246000
05-1-1989,4.44,5.25,4.25,5.19,18417400
06-1-1989,5.19,5.19,4.81,4.88,15983600
07-1-1989,4.81,5.06,4.06,4.31,12169400
08-1-1989,4.31,4.56,4.13,4.31,6993400
09-1-1989,4.25,4.63,4.13,4.44,9522800
10-1-1989,4.44,4.5,3.75,3.94,9599600
11-1-1989,3.88,4.0,3.56,3.75,7268200
12-1-1989,3.75,4.06,3.69,3.94,12496200
01-1-1990,3.94,4.13,3.56,3.63,16370400
02-1-1990,3.63,4.38,3.44,4.13,12515200
03-1-1990,4.13,5.06,4.13,4.56,22295600
04-1-1990,4.44,4.75,4.06,4.38,12156600
05-1-1990,4.38,5.69,4.13,5.25,34041800
06-1-1990,5.31,5.38,4.44,4.75,24349800
07-1-1990,4.75,4.88,3.38,3.5,17514600
08-1-1990,3.44,3.5,2.44,2.69,26597000
09-1-1990,2.69,3.25,2.44,2.56,11073400
10-1-1990,2.63,2.88,1.81,1.94,16339400
11-1-1990,1.94,2.44,1.88,2.19,11700000
12-1-1990,2.19,2.69,2.13,2.44,18411800
01-1-1991,2.44,3.75,2.0,3.63,33820400
02-1-1991,3.63,4.13,3.56,4.06,33392000
03-1-1991,4.0,5.88,3.94,5.25,59351000
04-1-1991,5.13,7.13,5.0,6.13,64158600
05-1-1991,6.06,6.88,5.25,6.75,37448000
06-1-1991,6.75,7.06,5.69,6.0,26617400
07-1-1991,6.19,6.81,5.06,5.56,38702800
08-1-1991,5.63,6.31,5.06,6.19,43345400
09-1-1991,6.19,6.25,4.31,4.69,26168400
10-1-1991,4.63,6.5,4.19,6.38,55386000
11-1-1991,6.38,7.31,5.88,7.19,54461400
12-1-1991,7.0,8.88,6.94,8.75,52926600
01-1-1992,8.69,10.69,8.69,9.44,97462400
02-1-1992,9.25,10.75,8.94,9.19,56985800
03-1-1992,9.13,9.81,8.13,8.88,41691200
04-1-1992,8.81,9.75,7.31,8.94,48861200
05-1-1992,8.88,9.25,7.38,7.88,40030200
06-1-1992,7.75,8.0,4.25,4.38,56522800
07-1-1992,4.38,4.5,3.69,4.44,45216200
08-1-1992,4.38,5.06,4.19,5.06,27352600
09-1-1992,5.06,6.5,5.06,5.63,39491600
10-1-1992,5.56,8.38,5.31,8.25,65815800
11-1-1992,8.25,9.31,7.56,8.94,38466200
12-1-1992,8.94,9.38,7.5,9.06,50736400
01-1-1993,9.0,10.75,8.81,9.38,52435400
02-1-1993,9.31,11.25,9.25,10.88,48130200
03-1-1993,10.94,12.25,10.44,11.5,34348200
04-1-1993,11.5,16.44,10.56,14.06,74724600
05-1-1993,14.25,15.38,13.63,14.31,36925000
06-1-1993,14.25,14.63,10.19,12.06,71452800
07-1-1993,12.06,12.88,11.38,11.94,28584600
08-1-1993,12.13,16.31,12.13,16.19,47712800
09-1-1993,16.0,16.13,13.0,13.19,50158600
10-1-1993,13.31,13.38,8.94,9.88,81051800
11-1-1993,10.0,10.25,8.94,9.5,35572000
12-1-1993,9.56,9.69,8.5,8.88,30406400
01-1-1994,8.88,10.69,8.38,10.25,42992400
02-1-1994,10.19,11.25,10.06,10.75,25643400
03-1-1994,10.75,15.88,10.63,15.63,107034800
04-1-1994,15.31,15.88,11.38,13.19,50297200
05-1-1994,13.19,13.63,11.31,13.5,32379600
06-1-1994,13.69,14.81,11.88,12.5,35807200
07-1-1994,12.38,13.69,12.06,13.5,26277800
08-1-1994,13.44,14.94,13.0,14.5,25940800
09-1-1994,13.75,15.5,13.69,14.88,32271200
10-1-1994,15.13,15.19,11.13,13.19,83515000
11-1-1994,13.13,13.38,12.06,12.63,32842600
12-1-1994,12.56,12.88,11.19,12.44,32486600
01-1-1995,12.63,16.13,12.44,14.69,69651600
02-1-1995,14.94,16.06,14.5,15.19,40565400
03-1-1995,15.19,17.94,14.69,16.94,64869600
04-1-1995,16.88,18.44,16.25,18.0,60877600
05-1-1995,17.88,18.81,16.06,16.5,59550000
06-1-1995,16.31,19.63,16.31,18.25,72385000
07-1-1995,18.19,18.25,15.19,16.31,88273000
08-1-1995,16.31,18.0,15.25,16.88,60169200
09-1-1995,16.88,17.94,14.0,14.56,68389200
10-1-1995,14.44,14.63,11.38,11.75,67628000
11-1-1995,11.63,11.94,10.0,10.25,63302000
12-1-1995,10.25,10.31,8.06,8.25,62336800
01-1-1996,8.25,10.44,8.06,9.88,63704800
02-1-1996,9.69,10.63,9.5,9.69,40098200
03-1-1996,9.69,9.75,8.38,8.69,34685600
04-1-1996,8.75,9.5,8.31,9.31,40919600
05-1-1996,9.31,9.94,8.56,8.81,43913400
06-1-1996,8.75,8.81,6.44,6.81,40526200
07-1-1996,6.88,7.19,5.13,6.06,43102600
