Date,Open,High,Low,Close,Volume
03-17-1980,0.0,3.3,2.91,2.92,1532400
03-24-1980,0.0,2.92,2.24,2.54,3344400
03-31-1980,0.0,2.77,2.52,2.64,1432800
04-7-1980,0.0,2.77,2.5,2.64,1538400
04-14-1980,0.0,2.65,2.27,2.32,2169600
04-21-1980,0.0,2.81,2.28,2.71,3043200
04-28-1980,0.0,2.79,2.42,2.47,1702800
05-5-1980,0.0,2.73,2.5,2.54,1180800
05-12-1980,0.0,2.78,2.52,2.67,1167600
05-19-1980,0.0,2.99,2.67,2.99,1942800
05-26-1980,0.0,3.21,3.0,3.17,1622400
06-2-1980,0.0,3.17,2.97,3.0,1286400
06-9-1980,0.0,3.1,2.86,3.09,1544400
06-16-1980,0.0,3.09,2.93,2.93,1383600
06-23-1980,0.0,3.13,2.91,3.04,982800
06-30-1980,0.0,3.36,3.01,3.34,972000
07-7-1980,0.0,3.64,3.33,3.61,2328000
07-14-1980,0.0,3.82,3.6,3.61,2060400
07-21-1980,0.0,3.66,3.49,3.51,1906800
07-28-1980,0.0,4.29,3.46,4.26,3224400
08-4-1980,0.0,4.42,4.21,4.27,1840800
08-11-1980,0.0,4.5,4.27,4.33,1856400
08-18-1980,0.0,4.58,3.91,4.56,2742000
08-25-1980,0.0,4.75,4.14,4.27,1863600
09-1-1980,0.0,4.54,4.18,4.53,1351200
09-8-1980,0.0,4.56,4.22,4.4,1636800
09-15-1980,0.0,5.13,4.31,5.03,2586000
09-22-1980,0.0,5.82,5.02,5.11,3337200
09-29-1980,0.0,5.24,4.72,5.18,3285600
10-6-1980,0.0,5.54,5.17,5.17,1749600
10-13-1980,0.0,5.4,5.06,5.09,1215600
10-20-1980,0.0,5.25,5.02,5.25,1106400
10-27-1980,0.0,5.17,4.52,4.79,1861800
11-3-1980,0.0,5.92,4.79,5.15,2025600
11-10-1980,0.0,6.58,5.19,6.33,1845600
11-17-1980,0.0,7.42,6.06,6.79,2926800
11-24-1980,0.0,7.15,6.52,6.96,1155600
12-1-1980,0.0,7.13,6.17,6.25,1677000
12-8-1980,0.0,6.25,5.38,5.85,3693000
12-15-1980,0.0,6.0,4.94,4.96,2791200
12-22-1980,0.0,5.71,4.92,5.69,2445600
12-29-1980,0.0,6.04,5.42,5.88,1257000
01-5-1981,0.0,5.98,4.54,4.54,4319400
01-12-1981,0.0,4.79,4.56,4.73,2768400
01-19-1981,0.0,4.83,4.29,4.38,1512600
01-26-1981,0.0,4.27,3.9,3.94,3203400
02-2-1981,0.0,4.42,3.33,4.29,3140400
02-9-1981,0.0,4.4,3.73,3.77,915000
02-16-1981,0.0,4.04,3.67,3.71,1876200
02-23-1981,0.0,4.0,3.52,3.88,2574600
03-2-1981,0.0,4.17,3.73,3.83,1188600
03-9-1981,0.0,4.13,3.73,3.96,1006800
03-16-1981,0.0,4.44,3.94,4.17,1666200
03-23-1981,0.0,4.54,4.17,4.29,2033400
03-30-1981,0.0,4.4,4.04,4.06,1921200
04-6-1981,0.0,4.52,3.94,4.42,2839800
04-13-1981,0.0,4.81,4.35,4.79,2514600
04-20-1981,0.0,5.17,4.71,4.94,3623400
04-27-1981,0.0,4.98,4.42,4.44,2061600
05-4-1981,0.0,4.69,4.19,4.56,828000
05-11-1981,0.0,4.75,4.33,4.54,974400
05-18-1981,0.0,4.67,4.33,4.46,1096200
05-25-1981,0.0,4.83,4.42,4.75,1621200
06-1-1981,0.0,4.96,4.23,4.38,2041800
06-8-1981,0.0,4.5,4.23,4.46,825000
06-15-1981,0.0,4.52,3.92,4.06,1389000
06-22-1981,0.0,4.17,3.77,4.13,1586400
06-29-1981,0.0,4.17,3.5,3.58,1893000
07-6-1981,0.0,3.88,3.5,3.54,1311000
07-13-1981,0.0,3.67,3.5,3.65,643800
07-20-1981,0.0,3.67,3.54,3.6,529200
07-27-1981,0.0,3.63,3.33,3.33,1167000
08-3-1981,0.0,3.4,3.19,3.23,1270800
08-10-1981,0.0,3.48,3.19,3.48,699600
08-17-1981,0.0,3.54,3.29,3.29,1317000
08-24-1981,0.0,3.23,3.08,3.15,782400
08-31-1981,0.0,3.17,2.88,2.98,1229400
09-7-1981,0.0,3.15,2.83,3.15,986400
09-14-1981,0.0,3.17,2.67,2.75,1349400
09-21-1981,0.0,2.77,2.44,2.46,1693200
09-28-1981,0.0,3.04,2.33,2.98,1342200
10-5-1981,0.0,3.08,2.81,2.94,1317000
10-12-1981,0.0,3.29,2.96,3.13,1429800
10-19-1981,0.0,3.42,2.96,2.98,1759200
10-26-1981,0.0,3.33,2.96,3.29,1141200
11-2-1981,0.0,3.54,3.17,3.23,1035600
11-9-1981,0.0,3.29,2.88,2.88,1014000
11-16-1981,0.0,2.94,2.79,2.9,834600
11-23-1981,0.0,3.0,2.73,2.73,942000
11-30-1981,0.0,3.13,2.73,3.04,1389600
12-7-1981,0.0,3.06,2.88,2.98,760800
12-14-1981,0.0,3.02,2.88,3.0,805800
12-21-1981,0.0,3.06,2.96,3.02,646200
12-28-1981,0.0,3.06,2.9,2.94,739800
01-4-1982,0.0,3.0,2.75,2.77,621000
01-11-1982,0.0,2.79,2.58,2.67,1965000
01-18-1982,0.0,2.92,2.63,2.88,1068600
01-25-1982,0.0,3.33,2.83,3.27,1505400
02-1-1982,0.0,3.29,2.96,3.15,2371800
02-8-1982,0.0,3.1,2.9,2.92,717600
02-15-1982,0.0,3.1,2.79,2.96,872400
02-22-1982,0.0,3.19,2.83,3.13,1801800
03-1-1982,0.0,3.33,3.08,3.25,1887600
03-8-1982,0.0,3.29,2.98,3.15,3253200
03-15-1982,0.0,3.88,3.13,3.79,3085800
03-22-1982,0.0,3.96,3.65,3.67,2404200
03-29-1982,0.0,3.96,3.63,3.92,975000
04-5-1982,0.0,4.06,3.83,4.0,1925400
04-12-1982,0.0,4.13,3.92,4.06,2793000
04-19-1982,0.0,4.13,3.75,4.1,1835400
04-26-1982,0.0,4.21,3.9,4.17,1873800
05-3-1982,0.0,4.33,4.17,4.25,1850400
05-10-1982,0.0,4.52,4.23,4.5,3328200
05-17-1982,0.0,4.46,3.98,4.08,1838400
05-24-1982,0.0,4.17,3.85,3.92,1161000
05-31-1982,0.0,4.04,3.77,3.77,916200
06-7-1982,0.0,4.02,3.69,4.02,1212000
06-14-1982,0.0,4.02,3.71,3.73,948600
06-21-1982,0.0,4.17,3.71,3.9,2230200
06-28-1982,0.0,4.13,3.88,3.9,1235400
07-5-1982,0.0,3.96,3.75,3.92,722400
07-12-1982,0.0,4.4,3.94,4.38,4650600
07-19-1982,0.0,4.54,4.31,4.52,2048400
07-26-1982,0.0,4.54,4.21,4.21,1529400
08-2-1982,0.0,4.38,3.85,3.88,2573400
08-9-1982,0.0,3.85,3.27,3.5,2395200
