Date,Open,High,Low,Close,Volume
01-22-1999,0.04,0.05,0.04,0.04,2714688000
01-25-1999,0.04,0.05,0.04,0.05,510480000
01-26-1999,0.05,0.05,0.04,0.04,343200000
01-27-1999,0.04,0.04,0.04,0.04,244368000
01-28-1999,0.04,0.04,0.04,0.04,227520000
01-29-1999,0.04,0.04,0.04,0.04,244032000
02-1-1999,0.04,0.04,0.04,0.04,154704000
02-2-1999,0.04,0.04,0.04,0.04,264096000
02-3-1999,0.04,0.04,0.04,0.04,75120000
02-4-1999,0.04,0.04,0.04,0.04,181920000
02-5-1999,0.04,0.04,0.04,0.04,136848000
02-8-1999,0.04,0.04,0.04,0.04,154080000
02-9-1999,0.04,0.04,0.04,0.04,86976000
02-10-1999,0.04,0.04,0.04,0.04,148224000
02-11-1999,0.04,0.04,0.04,0.04,132240000
02-12-1999,0.04,0.04,0.04,0.04,109728000
02-16-1999,0.04,0.05,0.04,0.04,211008000
02-17-1999,0.04,0.04,0.04,0.04,67728000
02-18-1999,0.04,0.04,0.04,0.04,70704000
02-19-1999,0.04,0.04,0.04,0.04,75360000
02-22-1999,0.04,0.04,0.04,0.04,205248000
02-23-1999,0.04,0.05,0.04,0.05,138096000
02-24-1999,0.05,0.05,0.05,0.05,612768000
02-25-1999,0.05,0.05,0.05,0.05,149136000
02-26-1999,0.05,0.05,0.05,0.05,172608000
03-1-1999,0.05,0.05,0.04,0.05,92160000
03-2-1999,0.05,0.05,0.04,0.05,55248000
03-3-1999,0.05,0.05,0.04,0.04,61392000
03-4-1999,0.04,0.04,0.04,0.04,57360000
03-5-1999,0.04,0.04,0.04,0.04,78768000
03-8-1999,0.04,0.05,0.04,0.04,75888000
03-9-1999,0.04,0.05,0.04,0.05,143184000
03-10-1999,0.05,0.05,0.04,0.05,235344000
03-11-1999,0.04,0.05,0.04,0.04,54288000
03-12-1999,0.04,0.04,0.04,0.04,90768000
03-15-1999,0.04,0.04,0.04,0.04,108816000
03-16-1999,0.04,0.05,0.04,0.04,79152000
03-17-1999,0.04,0.04,0.04,0.04,51360000
