Date,Open,High,Low,Close,Volume
02-1-1999,0.04,0.05,0.04,0.05,3146592000
03-1-1999,0.05,0.05,0.04,0.04,2014512000
04-1-1999,0.04,0.05,0.03,0.04,1767024000
05-1-1999,0.04,0.04,0.03,0.04,2482512000
06-1-1999,0.04,0.04,0.03,0.04,2366160000
07-1-1999,0.04,0.05,0.04,0.04,3764064000
08-1-1999,0.04,0.06,0.04,0.06,7894800000
09-1-1999,0.06,0.06,0.03,0.04,6992640000
10-1-1999,0.04,0.05,0.04,0.05,7953504000
11-1-1999,0.05,0.09,0.05,0.07,13917936000
12-1-1999,0.07,0.1,0.07,0.1,4917552000
01-1-2000,0.1,0.1,0.07,0.08,4941456000
02-1-2000,0.08,0.14,0.07,0.13,9160848000
03-1-2000,0.13,0.31,0.12,0.18,17552160000
04-1-2000,0.17,0.23,0.12,0.19,6481728000
05-1-2000,0.19,0.25,0.16,0.24,8695584000
06-1-2000,0.24,0.37,0.24,0.26,13271304000
07-1-2000,0.27,0.32,0.21,0.25,7280352000
08-1-2000,0.25,0.34,0.22,0.33,6079248000
09-1-2000,0.34,0.36,0.26,0.34,5868576000
10-1-2000,0.35,0.36,0.22,0.26,8841576000
11-1-2000,0.25,0.33,0.15,0.17,8675472000
12-1-2000,0.18,0.21,0.11,0.14,14453208000
01-1-2001,0.14,0.24,0.12,0.22,10728648000
02-1-2001,0.22,0.25,0.17,0.19,11644824000
03-1-2001,0.18,0.3,0.17,0.27,28940472000
04-1-2001,0.27,0.37,0.22,0.35,31102920000
05-1-2001,0.35,0.42,0.31,0.36,28041600000
06-1-2001,0.36,0.41,0.35,0.39,20156760000
07-1-2001,0.37,0.38,0.28,0.34,21604512000
08-1-2001,0.34,0.38,0.33,0.35,29863464000
09-1-2001,0.35,0.35,0.21,0.23,21169188000
10-1-2001,0.23,0.42,0.19,0.36,26377200000
11-1-2001,0.36,0.47,0.36,0.46,28734600000
12-1-2001,0.45,0.59,0.44,0.56,17648640000
01-1-2002,0.56,0.61,0.5,0.55,23589180000
02-1-2002,0.55,0.55,0.41,0.43,30995268000
03-1-2002,0.43,0.5,0.35,0.37,27269724000
04-1-2002,0.35,0.37,0.25,0.29,32098620000
05-1-2002,0.29,0.34,0.26,0.28,27800688000
06-1-2002,0.27,0.28,0.14,0.14,28839096000
07-1-2002,0.14,0.19,0.09,0.09,32480220000
08-1-2002,0.09,0.11,0.07,0.08,24041412000
09-1-2002,0.08,0.1,0.07,0.07,17827740000
10-1-2002,0.07,0.1,0.06,0.1,18364572000
11-1-2002,0.1,0.15,0.09,0.14,34187196000
12-1-2002,0.15,0.15,0.09,0.1,21906672000
01-1-2003,0.1,0.12,0.08,0.09,23529132000
02-1-2003,0.09,0.11,0.08,0.11,21243756000
03-1-2003,0.11,0.12,0.1,0.11,18003156000
04-1-2003,0.11,0.12,0.11,0.12,12578136000
05-1-2003,0.12,0.22,0.12,0.22,37281804000
06-1-2003,0.22,0.23,0.18,0.19,23196180000
07-1-2003,0.19,0.21,0.15,0.16,19904292000
08-1-2003,0.16,0.18,0.13,0.15,21743736000
09-1-2003,0.15,0.18,0.13,0.13,23588952000
10-1-2003,0.13,0.16,0.13,0.15,13788444000
11-1-2003,0.15,0.18,0.15,0.18,17760924000
12-1-2003,0.18,0.2,0.16,0.19,12347688000
01-1-2004,0.2,0.22,0.18,0.19,12401580000
02-1-2004,0.19,0.2,0.18,0.19,11862804000
03-1-2004,0.18,0.22,0.17,0.22,13192248000
04-1-2004,0.22,0.23,0.17,0.17,12362592000
05-1-2004,0.17,0.2,0.17,0.2,10290336000
06-1-2004,0.19,0.2,0.16,0.17,9524892000
07-1-2004,0.17,0.17,0.12,0.13,11743992000
08-1-2004,0.13,0.13,0.08,0.1,22610472000
09-1-2004,0.1,0.13,0.1,0.12,15624108000
10-1-2004,0.12,0.13,0.11,0.12,16351632000
11-1-2004,0.12,0.17,0.12,0.16,18380604000
12-1-2004,0.16,0.21,0.16,0.2,17652936000
