Date,Open,High,Low,Close,Volume
01-18-1999,0.04,0.05,0.04,0.04,2714688000
01-25-1999,0.04,0.05,0.04,0.04,1569600000
02-1-1999,0.04,0.04,0.04,0.04,812688000
02-8-1999,0.04,0.04,0.04,0.04,631248000
02-15-1999,0.04,0.05,0.04,0.04,424800000
02-22-1999,0.04,0.05,0.04,0.05,1277856000
03-1-1999,0.05,0.05,0.04,0.04,344928000
03-8-1999,0.04,0.05,0.04,0.04,599472000
03-15-1999,0.04,0.05,0.04,0.04,390960000
03-22-1999,0.04,0.04,0.04,0.04,390096000
03-29-1999,0.04,0.05,0.04,0.04,319488000
04-5-1999,0.04,0.05,0.04,0.04,436368000
04-12-1999,0.04,0.04,0.04,0.04,192528000
04-19-1999,0.04,0.04,0.04,0.04,489696000
04-26-1999,0.04,0.04,0.03,0.04,618000000
05-3-1999,0.04,0.04,0.03,0.04,335088000
05-10-1999,0.04,0.04,0.04,0.04,458304000
05-17-1999,0.04,0.04,0.03,0.04,1120704000
05-24-1999,0.04,0.04,0.03,0.04,568416000
05-31-1999,0.04,0.04,0.03,0.04,349152000
06-7-1999,0.04,0.04,0.04,0.04,470736000
06-14-1999,0.04,0.04,0.03,0.03,399024000
06-21-1999,0.04,0.04,0.03,0.04,676176000
06-28-1999,0.04,0.04,0.04,0.04,784944000
07-5-1999,0.04,0.04,0.04,0.04,658992000
07-12-1999,0.05,0.05,0.04,0.05,918768000
07-19-1999,0.05,0.05,0.04,0.04,627984000
07-26-1999,0.04,0.04,0.04,0.04,1244448000
08-2-1999,0.04,0.04,0.04,0.04,1083072000
08-9-1999,0.04,0.05,0.04,0.05,765120000
08-16-1999,0.05,0.06,0.04,0.06,3016944000
08-23-1999,0.06,0.06,0.05,0.05,2084160000
08-30-1999,0.06,0.06,0.05,0.06,2110800000
09-6-1999,0.06,0.06,0.05,0.06,671376000
09-13-1999,0.06,0.06,0.05,0.05,967296000
09-20-1999,0.05,0.05,0.03,0.04,2406912000
09-27-1999,0.04,0.05,0.04,0.04,2129520000
10-4-1999,0.04,0.05,0.04,0.05,3050640000
10-11-1999,0.05,0.05,0.04,0.04,1550880000
10-18-1999,0.04,0.05,0.04,0.04,1541712000
10-25-1999,0.04,0.05,0.04,0.05,1462512000
11-1-1999,0.05,0.06,0.05,0.06,5508432000
11-8-1999,0.06,0.07,0.06,0.07,1950624000
11-15-1999,0.07,0.09,0.06,0.09,4273536000
11-22-1999,0.09,0.09,0.07,0.08,1572048000
11-29-1999,0.08,0.08,0.07,0.08,1489488000
12-6-1999,0.08,0.08,0.08,0.08,879936000
12-13-1999,0.08,0.08,0.07,0.08,1058352000
12-20-1999,0.08,0.1,0.08,0.1,1322208000
12-27-1999,0.1,0.1,0.09,0.1,780864000
01-3-2000,0.1,0.1,0.08,0.09,981408000
01-10-2000,0.09,0.1,0.08,0.09,1248288000
01-17-2000,0.09,0.1,0.09,0.09,1150176000
01-24-2000,0.1,0.1,0.07,0.08,1379184000
01-31-2000,0.08,0.09,0.07,0.08,656352000
02-7-2000,0.08,0.11,0.08,0.1,2669232000
02-14-2000,0.1,0.14,0.1,0.14,3616800000
02-21-2000,0.14,0.14,0.12,0.13,1576944000
02-28-2000,0.13,0.13,0.12,0.12,1672224000
03-6-2000,0.12,0.3,0.12,0.25,6167184000
03-13-2000,0.22,0.31,0.19,0.21,6286560000
03-20-2000,0.22,0.22,0.18,0.19,1673520000
03-27-2000,0.19,0.2,0.15,0.18,2576592000
04-3-2000,0.17,0.22,0.12,0.21,2206512000
04-10-2000,0.22,0.23,0.14,0.14,1901520000
04-17-2000,0.13,0.19,0.13,0.17,1203888000
04-24-2000,0.16,0.2,0.15,0.19,1169808000
05-1-2000,0.19,0.2,0.17,0.19,1094400000
05-8-2000,0.19,0.19,0.16,0.17,1069776000
05-15-2000,0.17,0.24,0.16,0.21,2970240000
05-22-2000,0.21,0.25,0.19,0.22,2787984000
05-29-2000,0.23,0.28,0.22,0.27,1784352000
06-5-2000,0.27,0.29,0.25,0.26,2128128000
06-12-2000,0.26,0.31,0.25,0.31,2429376000
06-19-2000,0.31,0.37,0.3,0.31,3499056000
06-26-2000,0.31,0.35,0.24,0.26,4203576000
07-3-2000,0.27,0.28,0.22,0.24,1961112000
07-10-2000,0.24,0.32,0.24,0.31,2233656000
07-17-2000,0.31,0.31,0.27,0.29,873648000
07-24-2000,0.29,0.29,0.21,0.22,1840704000
07-31-2000,0.24,0.27,0.22,0.27,1630728000
08-7-2000,0.27,0.3,0.26,0.27,799656000
08-14-2000,0.27,0.32,0.26,0.32,1152672000
08-21-2000,0.33,0.34,0.28,0.31,1961808000
08-28-2000,0.31,0.34,0.31,0.33,1109760000
09-4-2000,0.34,0.34,0.3,0.31,938688000
09-11-2000,0.3,0.31,0.28,0.3,1110768000
09-18-2000,0.3,0.3,0.26,0.29,1426248000
09-25-2000,0.3,0.36,0.3,0.34,2188728000
10-2-2000,0.35,0.36,0.28,0.29,2612640000
10-9-2000,0.28,0.3,0.24,0.27,2597568000
10-16-2000,0.27,0.3,0.22,0.29,1901664000
10-23-2000,0.29,0.29,0.23,0.26,1238328000
10-30-2000,0.25,0.3,0.24,0.3,1257432000
11-6-2000,0.3,0.33,0.24,0.25,2450136000
11-13-2000,0.23,0.3,0.22,0.26,1838952000
11-20-2000,0.25,0.26,0.22,0.24,1256088000
11-27-2000,0.26,0.26,0.15,0.19,3148320000
12-4-2000,0.19,0.21,0.15,0.21,4060992000
12-11-2000,0.2,0.21,0.16,0.16,3505656000
12-18-2000,0.16,0.18,0.11,0.15,4504800000
12-25-2000,0.15,0.16,0.13,0.14,1597680000
01-1-2001,0.14,0.19,0.12,0.15,2449392000
01-8-2001,0.15,0.22,0.15,0.2,2386248000
01-15-2001,0.2,0.24,0.18,0.22,2974440000
01-22-2001,0.21,0.23,0.19,0.21,1962336000
