Date,Open,High,Low,Close,Volume
10-9-1997,5.65,6.56,5.65,6.32,10201979
10-10-1997,7.01,7.04,6.36,6.62,10669148
10-13-1997,6.63,6.63,6.44,6.47,3044363
10-14-1997,6.42,6.43,6.03,6.2,2549907
10-15-1997,5.82,6.04,5.81,6.03,3167153
10-16-1997,6.03,6.03,5.82,5.85,1770821
10-17-1997,5.58,5.59,5.33,5.34,3287121
10-20-1997,4.46,4.78,4.45,4.68,11499985
10-21-1997,4.89,5.34,4.86,5.34,6924737
10-22-1997,4.92,4.93,4.7,4.72,4458573
10-23-1997,4.57,4.57,4.25,4.44,12494072
10-24-1997,4.54,4.57,4.09,4.2,9498638
10-27-1997,4.09,4.09,3.63,3.64,4905042
10-28-1997,3.35,4.46,3.32,4.46,10417921
10-29-1997,4.09,4.21,4.04,4.05,7548100
10-30-1997,3.83,3.99,3.81,3.95,2797370
10-31-1997,4.09,4.29,4.08,4.2,3611270
11-3-1997,4.57,4.89,4.57,4.82,6205871
11-4-1997,4.78,4.88,4.69,4.82,3145042
11-5-1997,4.92,5.25,4.92,5.21,3979642
11-6-1997,5.39,5.42,5.13,5.18,3649848
11-7-1997,4.81,5.09,4.78,5.06,4470805
11-10-1997,5.26,5.29,5.07,5.09,2435114
11-11-1997,5.0,5.07,4.97,4.98,2194707
11-12-1997,4.82,4.82,4.69,4.7,3905309
11-13-1997,4.76,4.93,4.6,4.66,2482160
11-14-1997,4.76,4.82,4.6,4.66,2205999
11-17-1997,4.98,5.0,4.89,5.0,3290415
11-18-1997,4.84,4.84,4.65,4.68,2240813
11-19-1997,4.62,4.62,4.49,4.54,1442908
11-20-1997,4.45,4.52,4.42,4.44,2578134
11-21-1997,4.46,4.66,4.46,4.66,4223342
11-24-1997,4.44,4.57,4.44,4.56,2254927
11-25-1997,4.58,4.74,4.58,4.68,1083946
11-26-1997,4.62,4.64,4.54,4.6,1136637
11-28-1997,4.68,4.68,4.66,4.68,1083475
12-1-1997,4.46,4.46,4.4,4.46,2365485
12-2-1997,4.5,4.54,4.45,4.46,2203176
12-3-1997,4.54,4.54,4.42,4.49,2783727
12-4-1997,4.7,4.74,4.68,4.68,2721625
12-5-1997,4.68,4.73,4.65,4.69,1796226
12-8-1997,4.86,5.0,4.86,4.89,2020166
12-9-1997,4.78,4.78,4.68,4.68,1487132
12-10-1997,4.74,4.74,4.46,4.48,1393980
12-11-1997,4.28,4.29,4.21,4.28,3128576
12-12-1997,4.26,4.33,4.24,4.24,2271863
12-15-1997,4.21,4.21,3.88,3.88,5162855
12-16-1997,3.88,4.07,3.85,4.0,3736884
12-17-1997,4.01,4.05,3.85,3.87,3310174
12-18-1997,3.84,3.84,3.72,3.72,1023256
12-19-1997,3.69,4.0,3.67,3.95,3056124
12-22-1997,3.92,3.99,3.87,3.91,1266485
12-23-1997,3.84,3.84,3.77,3.79,813430
12-24-1997,3.79,3.84,3.76,3.77,742860
12-26-1997,3.77,3.84,3.77,3.83,292628
12-29-1997,3.88,3.91,3.84,3.85,951275
12-30-1997,3.88,3.99,3.88,3.99,1465491
12-31-1997,3.99,3.99,3.83,3.87,917402
01-2-1998,3.85,3.92,3.84,3.92,568789
01-5-1998,3.92,3.95,3.84,3.91,1749650
01-6-1998,3.87,3.87,3.81,3.83,1504069
01-7-1998,3.75,3.75,3.45,3.45,1337054
01-8-1998,3.4,3.41,3.29,3.29,4584186
