Date,Open,High,Low,Close,Volume
11-1-1997,4.57,5.42,4.42,4.68,54009094
12-1-1997,4.46,5.0,3.67,3.87,44910820
01-1-1998,3.85,5.07,2.84,5.05,53579560
02-1-1998,5.13,6.46,5.06,6.1,40813091
03-1-1998,6.1,6.11,5.11,5.5,33871886
04-1-1998,5.47,5.47,4.73,5.22,25291590
05-1-1998,5.18,5.27,4.01,4.01,25927186
06-1-1998,3.73,4.04,3.35,3.59,29083520
07-1-1998,3.64,4.2,3.52,3.91,35545794
08-1-1998,3.88,4.04,3.22,3.27,23353693
09-1-1998,3.29,4.03,3.08,3.78,27614201
10-1-1998,3.7,4.6,3.08,4.6,38154508
11-1-1998,4.58,5.59,4.05,4.62,59943411
12-1-1998,4.62,5.24,4.12,4.37,46108246
01-1-1999,4.47,7.05,4.18,6.16,104707753
02-1-1999,5.97,6.7,5.47,6.01,55666742
03-1-1999,5.97,8.24,5.68,7.28,49465724
04-1-1999,7.4,8.73,7.26,7.4,69716373
05-1-1999,7.38,8.15,6.55,8.07,68728077
06-1-1999,8.07,10.75,7.99,10.48,37542583
07-1-1999,10.52,10.69,9.19,9.57,56466204
08-1-1999,9.32,11.54,8.44,10.97,54497921
09-1-1999,11.42,12.77,10.73,11.18,55918165
10-1-1999,11.16,13.22,11.14,13.13,45798012
11-1-1999,13.03,14.88,12.7,13.58,41102621
12-1-1999,13.62,17.34,13.58,17.06,34322524
01-1-2000,17.91,27.29,17.06,19.67,59132927
02-1-2000,19.9,26.73,19.83,22.67,59994717
03-1-2000,23.08,24.64,19.05,21.61,84652384
04-1-2000,21.99,22.03,14.86,19.83,88336420
05-1-2000,19.97,20.19,15.16,17.14,54623652
06-1-2000,17.14,19.93,17.1,18.71,81420255
07-1-2000,18.92,18.99,13.37,14.74,63337513
08-1-2000,14.56,18.2,13.59,16.98,64594205
09-1-2000,16.5,16.92,9.89,9.92,93207165
10-1-2000,10.07,11.86,7.82,11.01,139389926
11-1-2000,10.43,12.49,8.13,8.16,79815074
12-1-2000,8.86,9.77,8.04,8.37,62421677
01-1-2001,8.8,12.92,8.19,11.71,91834241
02-1-2001,11.4,11.74,9.13,9.14,62878566
03-1-2001,8.73,10.48,8.32,9.46,75982550
04-1-2001,9.2,11.89,8.04,11.76,109757268
05-1-2001,11.67,12.12,9.46,9.64,152270723
06-1-2001,9.66,10.94,8.88,10.32,136427455
07-1-2001,10.33,11.19,8.93,11.07,115834328
08-1-2001,11.38,11.89,8.04,8.82,233675167
09-1-2001,8.87,9.18,5.7,6.45,94511962
10-1-2001,6.25,9.56,5.74,8.77,155054109
11-1-2001,8.83,11.37,8.59,10.82,175838158
12-1-2001,11.14,13.24,10.77,11.66,147115650
01-1-2002,11.89,13.68,11.45,11.53,171348347
02-1-2002,11.41,12.57,10.77,11.04,169887070
03-1-2002,11.04,14.26,11.04,14.1,129810426
04-1-2002,13.93,14.13,11.9,12.02,147290819
05-1-2002,12.02,12.96,10.88,11.26,155937322
06-1-2002,11.18,11.22,9.07,9.71,170966382
07-1-2002,9.53,10.54,6.24,6.82,223045241
08-1-2002,6.61,7.61,5.27,6.11,149161985
09-1-2002,5.75,6.43,4.55,4.75,130621887
10-1-2002,4.75,6.16,3.97,5.84,211529755
11-1-2002,5.72,7.09,5.63,6.91,220993911
12-1-2002,7.17,7.25,5.2,5.27,132795257
01-1-2003,5.34,6.43,4.93,5.01,158723698
02-1-2003,5.01,5.7,4.75,5.3,109048621
03-1-2003,5.44,6.36,4.93,5.11,160278550
04-1-2003,5.19,6.43,5.08,6.25,191321458
05-1-2003,6.26,7.61,6.12,7.58,201902206
06-1-2003,7.81,8.38,7.0,7.53,195187786
07-1-2003,7.53,8.93,7.26,8.07,287723411
08-1-2003,8.15,9.66,7.52,9.51,185064706
09-1-2003,9.51,10.44,8.28,8.74,176834277
10-1-2003,8.76,10.09,8.34,8.93,207222085
11-1-2003,9.12,9.47,8.43,8.77,205475856
12-1-2003,8.88,9.28,7.59,8.26,212337602
01-1-2004,8.46,9.42,8.39,9.02,186423598
02-1-2004,9.0,9.07,8.23,8.39,112657524
03-1-2004,8.53,9.14,7.47,8.43,239576678
04-1-2004,8.54,9.1,7.67,7.69,150200990
05-1-2004,7.95,8.19,7.14,8.19,182547401
06-1-2004,8.05,8.06,6.62,7.65,191575653
07-1-2004,7.58,7.59,6.07,6.55,177846870
08-1-2004,6.52,7.17,6.21,6.95,139156986
09-1-2004,6.95,7.3,6.45,6.57,127536638
10-1-2004,6.65,7.13,6.23,6.96,167260390
11-1-2004,6.95,8.08,6.9,7.33,155542225
12-1-2004,7.38,7.85,7.24,7.81,109836026
01-1-2005,7.86,8.09,7.07,8.05,153698830
02-1-2005,8.0,8.69,7.91,8.39,128246278
03-1-2005,8.38,8.48,7.55,7.8,147732903
04-1-2005,8.11,8.11,7.39,7.92,126144312
05-1-2005,8.0,8.57,7.92,8.47,126423535
06-1-2005,8.39,9.25,8.33,8.81,155205897
07-1-2005,8.84,9.14,8.17,8.3,172695627
08-1-2005,8.3,8.65,7.78,7.95,218610016
09-1-2005,8.05,8.28,7.49,7.94,241965277
10-1-2005,7.94,8.28,7.25,7.81,224009460
11-1-2005,7.78,9.3,7.68,9.25,214560303
12-1-2005,9.35,9.82,8.88,9.57,156565090
01-1-2006,9.95,10.67,9.45,10.43,218084987
02-1-2006,10.38,10.43,9.37,9.4,187475809
03-1-2006,9.46,9.92,8.98,9.72,196139084
04-1-2006,9.83,10.63,9.82,10.12,174802054
05-1-2006,10.19,10.98,8.94,9.15,225984321
06-1-2006,9.18,9.53,8.16,9.13,197530178
07-1-2006,9.17,9.25,7.93,8.63,181891930
08-1-2006,8.61,9.64,8.38,9.26,201616059
09-1-2006,9.33,9.9,8.82,9.55,205499382
10-1-2006,9.55,10.45,9.3,9.65,232233283
11-1-2006,9.71,10.75,9.31,10.7,224613176
12-1-2006,10.7,11.22,10.44,10.88,190245189
01-1-2007,11.05,11.44,10.37,10.86,309894560
02-1-2007,10.86,11.58,10.46,11.04,185650934
03-1-2007,10.76,11.56,9.75,10.7,279729485
04-1-2007,10.76,11.04,10.38,10.49,271695817
05-1-2007,10.5,10.9,10.13,10.86,352687962
06-1-2007,10.93,11.28,10.18,11.07,332640825
07-1-2007,11.14,11.75,9.88,10.1,353108956
