Date,Open,High,Low,Close,Volume
10-6-1997,5.65,7.04,5.65,6.62,20871127
10-13-1997,6.63,6.63,5.33,5.34,13819365
10-20-1997,4.46,5.34,4.09,4.2,44876005
10-27-1997,4.09,4.46,3.32,4.2,29279703
11-3-1997,4.57,5.42,4.57,5.06,21451208
11-10-1997,5.26,5.29,4.6,4.66,13223289
11-17-1997,4.98,5.0,4.42,4.66,13775612
11-24-1997,4.44,4.74,4.44,4.68,5558985
12-1-1997,4.46,4.74,4.4,4.69,11870239
12-8-1997,4.86,5.0,4.21,4.24,10301717
12-15-1997,4.21,4.21,3.67,3.95,16289293
12-22-1997,3.92,3.99,3.76,3.83,3115403
12-29-1997,3.88,3.99,3.83,3.92,3902957
01-5-1998,3.92,3.95,3.08,3.1,14507651
01-12-1998,3.03,3.79,2.84,3.71,12549587
01-19-1998,3.8,4.22,3.8,4.2,9135911
01-26-1998,4.49,5.07,4.4,5.05,16817622
02-2-1998,5.13,5.57,5.11,5.26,12668143
02-9-1998,5.26,5.63,5.06,5.5,11804375
02-16-1998,5.71,5.95,5.67,5.77,6563423
02-23-1998,5.74,6.46,5.61,6.1,9777150
03-2-1998,6.1,6.11,5.11,5.61,10816403
03-9-1998,5.37,5.85,5.31,5.71,4498562
03-16-1998,5.79,5.79,5.33,5.46,8913381
03-23-1998,5.3,5.79,5.29,5.69,5711414
03-30-1998,5.66,5.67,5.33,5.39,7146325
04-6-1998,5.41,5.45,5.15,5.22,3498359
04-13-1998,5.11,5.15,4.81,4.84,6126361
04-20-1998,4.82,5.29,4.73,5.27,7916002
04-27-1998,5.14,5.26,5.0,5.15,4896102
05-4-1998,5.13,5.27,5.07,5.11,3263598
05-11-1998,5.15,5.25,5.02,5.03,6631168
05-18-1998,4.93,4.93,4.78,4.82,5758931
05-25-1998,4.3,4.41,4.01,4.01,9914056
06-1-1998,3.73,3.88,3.61,3.87,8086309
06-8-1998,3.85,3.85,3.37,3.48,6960021
06-15-1998,3.35,4.04,3.35,4.0,6073201
06-22-1998,3.79,3.99,3.72,3.92,5450308
06-29-1998,3.69,3.71,3.57,3.63,5305405
07-6-1998,3.57,3.93,3.52,3.73,7036237
07-13-1998,3.67,4.2,3.53,4.13,15389769
07-20-1998,4.13,4.18,3.88,4.0,5572158
07-27-1998,4.0,4.03,3.89,3.91,4755906
08-3-1998,3.88,4.04,3.64,3.97,6180466
08-10-1998,3.96,3.97,3.61,3.97,6481092
08-17-1998,3.89,4.01,3.69,3.69,5359038
08-24-1998,3.57,3.72,3.22,3.43,4916819
08-31-1998,3.41,3.47,3.08,3.12,6774011
09-7-1998,3.45,3.66,3.29,3.56,5845415
09-14-1998,3.56,3.74,3.54,3.7,5928801
09-21-1998,3.56,3.91,3.54,3.87,3790305
09-28-1998,3.85,4.03,3.08,3.18,14095056
10-5-1998,3.18,3.72,3.08,3.72,6351568
10-12-1998,3.81,3.97,3.58,3.93,5718553
10-19-1998,3.85,3.95,3.51,3.51,5546590
10-26-1998,3.54,4.6,3.54,4.6,12134688
11-2-1998,4.58,4.78,4.26,4.33,11188247
11-9-1998,4.31,4.62,4.05,4.53,11196683
11-16-1998,4.6,5.59,4.58,5.07,23049093
11-23-1998,5.1,5.1,4.55,4.8,13172950
11-30-1998,4.7,5.24,4.51,5.24,17477195
12-7-1998,5.22,5.24,4.2,4.3,9638317
12-14-1998,4.24,4.85,4.12,4.84,14691733
12-21-1998,4.78,4.84,4.64,4.66,2930820
12-28-1998,4.66,4.66,4.35,4.37,2706619
01-4-1999,4.47,5.95,4.18,5.61,31512875
01-11-1999,5.57,6.95,5.16,6.93,39647983
01-18-1999,6.47,7.05,6.09,6.14,20273364
01-25-1999,5.89,6.49,5.86,6.16,13273531
02-1-1999,5.97,6.49,5.7,5.91,18506371
02-8-1999,6.16,6.26,5.47,5.86,13436408
02-15-1999,5.86,5.97,5.76,5.89,5152700
02-22-1999,6.09,6.7,5.93,6.01,18571263
03-1-1999,5.97,6.13,5.68,6.09,10303129
03-8-1999,6.09,6.82,6.07,6.78,10605522
03-15-1999,7.24,8.24,7.09,8.05,16758198
03-22-1999,7.96,7.97,7.19,7.2,8152305
03-29-1999,7.17,7.74,7.03,7.72,6310685
04-5-1999,7.72,8.32,7.69,8.32,7776582
04-12-1999,7.97,8.36,7.55,7.88,22739560
04-19-1999,8.01,8.55,7.42,8.53,19972917
04-26-1999,8.71,8.73,7.26,7.4,16563199
05-3-1999,7.38,7.94,7.15,7.15,20156235
05-10-1999,7.15,7.38,6.55,7.28,24603565
05-17-1999,7.2,7.55,7.05,7.42,12897810
05-24-1999,7.42,8.15,7.36,8.07,11070467
05-31-1999,8.07,8.98,7.99,8.92,8888496
06-7-1999,9.28,10.38,9.21,9.63,11129521
06-14-1999,9.59,10.75,9.59,10.63,7198076
06-21-1999,10.63,10.71,10.06,10.09,6692897
06-28-1999,10.09,10.69,10.09,10.56,5808427
07-5-1999,10.61,10.61,9.71,9.94,7650694
07-12-1999,9.86,10.25,9.27,9.79,23310929
07-19-1999,9.94,10.04,9.25,9.3,12708002
07-26-1999,9.28,9.88,9.19,9.57,10621745
08-2-1999,9.32,9.42,8.44,8.82,9906966
08-9-1999,9.07,11.54,9.02,10.83,13126551
08-16-1999,11.47,11.52,10.64,10.85,11189278
08-23-1999,10.9,11.25,10.76,10.9,17070388
08-30-1999,10.95,11.82,10.78,11.82,9814163
09-6-1999,11.73,12.77,11.7,12.77,9335917
09-13-1999,12.75,12.77,11.66,12.2,10032576
09-20-1999,12.15,12.6,10.73,10.99,16020519
09-27-1999,11.23,11.99,11.02,11.59,16787347
10-4-1999,11.54,12.34,11.42,11.47,14806577
10-11-1999,11.75,12.32,11.66,11.75,9883801
10-18-1999,11.75,12.11,11.4,11.94,9583612
10-25-1999,12.2,13.22,12.15,13.13,8656403
11-1-1999,13.03,13.69,12.7,13.46,10607630
11-8-1999,13.36,14.88,13.34,13.84,13525631
11-15-1999,14.03,14.41,13.88,14.07,8909376
11-22-1999,14.07,14.19,13.6,13.79,6243553
11-29-1999,13.86,15.54,13.58,15.42,10033367
12-6-1999,14.83,15.19,14.24,14.6,8063149
12-13-1999,14.6,14.74,13.86,14.43,10284755
12-20-1999,14.48,15.52,14.48,15.52,4245637
12-27-1999,16.4,17.34,16.16,17.06,3512047
01-3-2000,17.91,18.67,17.06,18.1,9966102
01-10-2000,18.69,20.99,18.43,20.92,11281867
01-17-2000,20.04,21.23,19.95,20.71,9148630
01-24-2000,21.37,27.29,20.49,20.59,23024568
01-31-2000,20.19,26.73,19.29,25.38,19331036
02-7-2000,25.38,25.38,22.03,23.31,10690987
